hour,minute,operation_id,train_type,destination,platform,departure_dt,time_iso,stop_stations
20,21,80020257,特急,京王八王子,３,20:21,2025-09-08T20:21:00+09:00,"[{""station"": ""新宿"", ""time"": ""2025-09-08T20:21:00+09:00""}, {""station"": ""北野"", ""time"": ""2025-09-08T21:03:00+09:00""}, {""station"": ""京王八王子"", ""time"": ""2025-09-08T21:05:00+09:00""}]"
20,28,800202d0,急行,京王八王子,３,20:28,2025-09-08T20:28:00+09:00,"[{""station"": ""新宿"", ""time"": ""2025-09-08T20:28:00+09:00""}, {""station"": ""北野"", ""time"": ""2025-09-08T21:14:00+09:00""}, {""station"": ""京王八王子"", ""time"": ""2025-09-08T21:16:00+09:00""}]"
20,41,80020259,特急,京王八王子,３,20:41,2025-09-08T20:41:00+09:00,"[{""station"": ""新宿"", ""time"": ""2025-09-08T20:41:00+09:00""}, {""station"": ""北野"", ""time"": ""2025-09-08T21:23:00+09:00""}, {""station"": ""京王八王子"", ""time"": ""2025-09-08T21:25:00+09:00""}]"
20,48,800202d1,急行,京王八王子,３,20:48,2025-09-08T20:48:00+09:00,"[{""station"": ""新宿"", ""time"": ""2025-09-08T20:48:00+09:00""}, {""station"": ""北野"", ""time"": ""2025-09-08T21:33:00+09:00""}, {""station"": ""京王八王子"", ""time"": ""2025-09-08T21:35:00+09:00""}]"
21,1,80020298,特急,京王八王子〔高幡不動から各駅停車〕,３,21:01,2025-09-08T21:01:00+09:00,"[{""station"": ""新宿"", ""time"": ""2025-09-08T21:01:00+09:00""}, {""station"": ""北野"", ""time"": ""2025-09-08T21:49:00+09:00""}, {""station"": ""京王八王子"", ""time"": ""2025-09-08T21:51:00+09:00""}]"
21,8,800202d4,急行,京王八王子〔高幡不動から各駅停車〕,３,21:08,2025-09-08T21:08:00+09:00,"[{""station"": ""新宿"", ""time"": ""2025-09-08T21:08:00+09:00""}, {""station"": ""北野"", ""time"": ""2025-09-08T21:58:00+09:00""}, {""station"": ""京王八王子"", ""time"": ""2025-09-08T22:00:00+09:00""}]"
21,21,80020299,特急,京王八王子〔高幡不動から各駅停車〕,３,21:21,2025-09-08T21:21:00+09:00,"[{""station"": ""新宿"", ""time"": ""2025-09-08T21:21:00+09:00""}, {""station"": ""北野"", ""time"": ""2025-09-08T22:09:00+09:00""}, {""station"": ""京王八王子"", ""time"": ""2025-09-08T22:11:00+09:00""}]"
21,32,8002029a,特急,京王八王子〔高幡不動から各駅停車〕,３,21:32,2025-09-08T21:32:00+09:00,"[{""station"": ""新宿"", ""time"": ""2025-09-08T21:32:00+09:00""}, {""station"": ""北野"", ""time"": ""2025-09-08T22:20:00+09:00""}, {""station"": ""京王八王子"", ""time"": ""2025-09-08T22:22:00+09:00""}]"
21,45,800202d5,急行,京王八王子〔高幡不動から各駅停車〕,３,21:45,2025-09-08T21:45:00+09:00,"[{""station"": ""新宿"", ""time"": ""2025-09-08T21:45:00+09:00""}, {""station"": ""北野"", ""time"": ""2025-09-08T22:34:00+09:00""}, {""station"": ""京王八王子"", ""time"": ""2025-09-08T22:37:00+09:00""}]"
22,1,8002029b,特急,京王八王子〔高幡不動から各駅停車〕,３,22:01,2025-09-08T22:01:00+09:00,"[{""station"": ""新宿"", ""time"": ""2025-09-08T22:01:00+09:00""}, {""station"": ""北野"", ""time"": ""2025-09-08T22:48:00+09:00""}, {""station"": ""京王八王子"", ""time"": ""2025-09-08T22:50:00+09:00""}]"
22,13,8002029c,特急,京王八王子〔高幡不動から各駅停車〕,３,22:13,2025-09-08T22:13:00+09:00,"[{""station"": ""新宿"", ""time"": ""2025-09-08T22:13:00+09:00""}, {""station"": ""北野"", ""time"": ""2025-09-08T22:58:00+09:00""}, {""station"": ""京王八王子"", ""time"": ""2025-09-08T23:00:00+09:00""}]"
22,23,8002029d,特急,京王八王子〔高幡不動から各駅停車〕,３,22:23,2025-09-08T22:23:00+09:00,"[{""station"": ""新宿"", ""time"": ""2025-09-08T22:23:00+09:00""}, {""station"": ""北野"", ""time"": ""2025-09-08T23:14:00+09:00""}, {""station"": ""京王八王子"", ""time"": ""2025-09-08T23:16:00+09:00""}]"
23,1,8002029f,特急,京王八王子〔高幡不動から各駅停車〕,３,23:01,2025-09-08T23:01:00+09:00,"[{""station"": ""新宿"", ""time"": ""2025-09-08T23:01:00+09:00""}, {""station"": ""北野"", ""time"": ""2025-09-08T23:45:00+09:00""}, {""station"": ""京王八王子"", ""time"": ""2025-09-08T23:47:00+09:00""}]"
23,16,800202a0,特急,京王八王子〔高幡不動から各駅停車〕,３,23:16,2025-09-08T23:16:00+09:00,"[{""station"": ""新宿"", ""time"": ""2025-09-08T23:16:00+09:00""}, {""station"": ""北野"", ""time"": ""2025-09-09T00:00:00+09:00""}, {""station"": ""京王八王子"", ""time"": ""2025-09-09T00:02:00+09:00""}]"
23,30,800202a1,特急,京王八王子〔高幡不動から各駅停車〕,３,23:30,2025-09-08T23:30:00+09:00,"[{""station"": ""新宿"", ""time"": ""2025-09-08T23:30:00+09:00""}, {""station"": ""北野"", ""time"": ""2025-09-09T00:14:00+09:00""}, {""station"": ""京王八王子"", ""time"": ""2025-09-09T00:17:00+09:00""}]"
23,45,800202a2,特急,京王八王子〔高幡不動から各駅停車〕,３,23:45,2025-09-08T23:45:00+09:00,"[{""station"": ""新宿"", ""time"": ""2025-09-08T23:45:00+09:00""}, {""station"": ""北野"", ""time"": ""2025-09-09T00:29:00+09:00""}, {""station"": ""京王八王子"", ""time"": ""2025-09-09T00:31:00+09:00""}]"
